participant_id,condition,session_id,window_start_sec,window_end_sec,server_time_ms,score,state,action,action_changed,qa,pupil_valid_frac,gaze_valid_frac,blink_rate_per_min,n_samples_window
ID01,single,ID01_ET_0,0.0,10.0,1772207238831,0.5107509093922529,MEDIUM,REDUCE_CLUTTER,True,"{'n_samples_window': 609, 'pupil_valid_frac': 0.9195402298850575}",0.9195402298850575,0.9195402298850575,18.0,609
ID01,single,ID01_ET_0,1.0,11.0,1772207238942,0.5076061860786275,MEDIUM,REDUCE_CLUTTER,False,"{'n_samples_window': 609, 'pupil_valid_frac': 0.8752052545155994}",0.8752052545155994,0.8752052545155994,30.0,609
ID01,single,ID01_ET_0,2.0,12.0,1772207239049,0.481145689197708,MEDIUM,REDUCE_CLUTTER,False,"{'n_samples_window': 609, 'pupil_valid_frac': 0.8604269293924466}",0.8604269293924466,0.8604269293924466,30.0,609
ID01,single,ID01_ET_0,3.0,13.0,1772207239159,0.47048172039402186,MEDIUM,REDUCE_CLUTTER,False,"{'n_samples_window': 609, 'pupil_valid_frac': 0.8587848932676518}",0.8587848932676518,0.8587848932676518,30.0,609
ID01,single,ID01_ET_0,4.0,14.0,1772207239267,0.4639714269984264,MEDIUM,REDUCE_CLUTTER,False,"{'n_samples_window': 609, 'pupil_valid_frac': 0.8144499178981938}",0.8144499178981938,0.8144499178981938,36.0,609
ID01,single,ID01_ET_0,5.0,15.0,1772207239374,0.4640459592880207,MEDIUM,REDUCE_CLUTTER,False,"{'n_samples_window': 609, 'pupil_valid_frac': 0.7881773399014779}",0.7881773399014779,0.7881773399014779,36.0,609
ID01,single,ID01_ET_0,6.0,16.0,1772207239485,0.45613083866795057,MEDIUM,REDUCE_CLUTTER,False,"{'n_samples_window': 608, 'pupil_valid_frac': 0.7598684210526315}",0.7598684210526315,0.7598684210526315,42.0,608
ID01,single,ID01_ET_0,7.0,17.0,1772207239592,0.45471533532415775,MEDIUM,REDUCE_CLUTTER,False,"{'n_samples_window': 608, 'pupil_valid_frac': 0.7319078947368421}",0.7319078947368421,0.7319078947368421,48.0,608
ID01,single,ID01_ET_0,8.0,18.0,1772207239699,0.454141482396306,MEDIUM,REDUCE_CLUTTER,False,"{'n_samples_window': 609, 'pupil_valid_frac': 0.7192118226600985}",0.7192118226600985,0.7192118226600985,54.0,609
ID01,single,ID01_ET_0,9.0,19.0,1772207239809,0.43870665893599997,MEDIUM,REDUCE_CLUTTER,False,"{'n_samples_window': 609, 'pupil_valid_frac': 0.6962233169129721}",0.6962233169129721,0.6962233169129721,48.0,609
ID01,single,ID01_ET_0,10.0,20.0,1772207239920,0.4449749408787677,MEDIUM,REDUCE_CLUTTER,False,"{'n_samples_window': 609, 'pupil_valid_frac': 0.7257799671592775}",0.7257799671592775,0.7257799671592775,42.0,609
ID01,single,ID01_ET_0,11.0,21.0,1772207240031,0.4461945135017081,MEDIUM,REDUCE_CLUTTER,False,"{'n_samples_window': 609, 'pupil_valid_frac': 0.7422003284072249}",0.7422003284072249,0.7422003284072249,42.0,609
ID01,single,ID01_ET_0,12.0,22.0,1772207240139,0.45464201475332133,MEDIUM,REDUCE_CLUTTER,False,"{'n_samples_window': 609, 'pupil_valid_frac': 0.7307060755336617}",0.7307060755336617,0.7307060755336617,42.0,609
ID01,single,ID01_ET_0,13.0,23.0,1772207240250,0.44575254640343764,MEDIUM,REDUCE_CLUTTER,False,"{'n_samples_window': 609, 'pupil_valid_frac': 0.7471264367816092}",0.7471264367816092,0.7471264367816092,42.0,609
ID01,single,ID01_ET_0,14.0,24.0,1772207240362,0.4434363597825592,MEDIUM,REDUCE_CLUTTER,False,"{'n_samples_window': 608, 'pupil_valid_frac': 0.7648026315789473}",0.7648026315789473,0.7648026315789473,36.0,608
ID01,single,ID01_ET_0,15.0,25.0,1772207240474,0.45630560188056174,MEDIUM,REDUCE_CLUTTER,False,"{'n_samples_window': 608, 'pupil_valid_frac': 0.7911184210526315}",0.7911184210526315,0.7911184210526315,36.0,608
ID01,single,ID01_ET_0,16.0,26.0,1772207240585,0.4468528097347153,MEDIUM,REDUCE_CLUTTER,False,"{'n_samples_window': 609, 'pupil_valid_frac': 0.7865353037766831}",0.7865353037766831,0.7865353037766831,36.0,609
ID01,single,ID01_ET_0,17.0,27.0,1772207240697,0.44512200203598135,MEDIUM,REDUCE_CLUTTER,False,"{'n_samples_window': 609, 'pupil_valid_frac': 0.8144499178981938}",0.8144499178981938,0.8144499178981938,30.0,609
ID01,single,ID01_ET_0,18.0,28.0,1772207240809,0.4337517041927248,MEDIUM,REDUCE_CLUTTER,False,"{'n_samples_window': 609, 'pupil_valid_frac': 0.8045977011494253}",0.8045977011494253,0.8045977011494253,36.0,609
ID01,single,ID01_ET_0,19.0,29.0,1772207240918,0.43500827036018297,MEDIUM,REDUCE_CLUTTER,False,"{'n_samples_window': 609, 'pupil_valid_frac': 0.8423645320197044}",0.8423645320197044,0.8423645320197044,30.0,609
ID01,single,ID01_ET_0,20.0,30.0,1772207241029,0.4325413054070823,MEDIUM,REDUCE_CLUTTER,False,"{'n_samples_window': 609, 'pupil_valid_frac': 0.8423645320197044}",0.8423645320197044,0.8423645320197044,30.0,609
ID01,single,ID01_ET_0,21.0,31.0,1772207241138,0.42399274447879,MEDIUM,REDUCE_CLUTTER,False,"{'n_samples_window': 608, 'pupil_valid_frac': 0.8388157894736842}",0.8388157894736842,0.8388157894736842,30.0,608
ID01,single,ID01_ET_0,22.0,32.0,1772207241247,0.43068936854386125,MEDIUM,REDUCE_CLUTTER,False,"{'n_samples_window': 608, 'pupil_valid_frac': 0.8404605263157895}",0.8404605263157895,0.8404605263157895,30.0,608
ID01,single,ID01_ET_0,23.0,33.0,1772207241355,0.43117906862901456,MEDIUM,REDUCE_CLUTTER,False,"{'n_samples_window': 608, 'pupil_valid_frac': 0.8519736842105263}",0.8519736842105263,0.8519736842105263,30.0,608
ID01,single,ID01_ET_0,24.0,34.0,1772207241462,0.4317577851958038,MEDIUM,REDUCE_CLUTTER,False,"{'n_samples_window': 609, 'pupil_valid_frac': 0.8489326765188834}",0.8489326765188834,0.8489326765188834,30.0,609
ID01,single,ID01_ET_0,25.0,35.0,1772207241571,0.4344190906237231,MEDIUM,REDUCE_CLUTTER,False,"{'n_samples_window': 609, 'pupil_valid_frac': 0.8226600985221675}",0.8226600985221675,0.8226600985221675,36.0,609
ID01,single,ID01_ET_0,26.0,36.0,1772207241682,0.43950481367553196,MEDIUM,REDUCE_CLUTTER,False,"{'n_samples_window': 609, 'pupil_valid_frac': 0.8555008210180624}",0.8555008210180624,0.8555008210180624,30.0,609
ID01,single,ID01_ET_0,27.0,37.0,1772207241792,0.43607620505011707,MEDIUM,REDUCE_CLUTTER,False,"{'n_samples_window': 609, 'pupil_valid_frac': 0.8177339901477833}",0.8177339901477833,0.8177339901477833,42.0,609
ID01,single,ID01_ET_0,28.0,38.0,1772207241901,0.4372136334297583,MEDIUM,REDUCE_CLUTTER,False,"{'n_samples_window': 609, 'pupil_valid_frac': 0.8226600985221675}",0.8226600985221675,0.8226600985221675,42.0,609
ID01,single,ID01_ET_0,29.0,39.0,1772207242010,0.4357894252833781,MEDIUM,REDUCE_CLUTTER,False,"{'n_samples_window': 608, 'pupil_valid_frac': 0.8108552631578947}",0.8108552631578947,0.8108552631578947,42.0,608
ID01,single,ID01_ET_0,30.0,40.0,1772207242119,0.42758078830916224,MEDIUM,REDUCE_CLUTTER,False,"{'n_samples_window': 608, 'pupil_valid_frac': 0.7730263157894737}",0.7730263157894737,0.7730263157894737,48.0,608
ID01,single,ID01_ET_0,31.0,41.0,1772207242227,0.4268685144933177,MEDIUM,REDUCE_CLUTTER,False,"{'n_samples_window': 609, 'pupil_valid_frac': 0.7750410509031199}",0.7750410509031199,0.7750410509031199,42.0,609
ID01,single,ID01_ET_0,32.0,42.0,1772207242335,0.42644901140961816,MEDIUM,REDUCE_CLUTTER,False,"{'n_samples_window': 609, 'pupil_valid_frac': 0.7701149425287356}",0.7701149425287356,0.7701149425287356,42.0,609
ID01,single,ID01_ET_0,33.0,43.0,1772207242445,0.4222492275498942,MEDIUM,REDUCE_CLUTTER,False,"{'n_samples_window': 609, 'pupil_valid_frac': 0.7405582922824302}",0.7405582922824302,0.7405582922824302,48.0,609
ID01,single,ID01_ET_0,34.0,44.0,1772207242556,0.42753284129308267,MEDIUM,REDUCE_CLUTTER,False,"{'n_samples_window': 609, 'pupil_valid_frac': 0.7405582922824302}",0.7405582922824302,0.7405582922824302,48.0,609
ID01,single,ID01_ET_0,35.0,45.0,1772207242667,0.43577150359039424,MEDIUM,REDUCE_CLUTTER,False,"{'n_samples_window': 609, 'pupil_valid_frac': 0.7405582922824302}",0.7405582922824302,0.7405582922824302,48.0,609
ID01,single,ID01_ET_0,36.0,46.0,1772207242776,0.4403609291454775,MEDIUM,REDUCE_CLUTTER,False,"{'n_samples_window': 609, 'pupil_valid_frac': 0.7126436781609196}",0.7126436781609196,0.7126436781609196,54.0,609
ID01,single,ID01_ET_0,37.0,47.0,1772207242886,0.4438997747565337,MEDIUM,REDUCE_CLUTTER,False,"{'n_samples_window': 608, 'pupil_valid_frac': 0.75}",0.75,0.75,48.0,608
ID01,single,ID01_ET_0,38.0,48.0,1772207242996,0.43755988017122366,MEDIUM,REDUCE_CLUTTER,False,"{'n_samples_window': 608, 'pupil_valid_frac': 0.7039473684210527}",0.7039473684210527,0.7039473684210527,48.0,608
ID01,single,ID01_ET_0,39.0,49.0,1772207243105,0.4845660887422843,MEDIUM,REDUCE_CLUTTER,False,"{'n_samples_window': 609, 'pupil_valid_frac': 0.6995073891625616}",0.6995073891625616,0.6995073891625616,54.0,609
ID01,single,ID01_ET_0,40.0,50.0,1772207243216,0.4706332290220426,MEDIUM,REDUCE_CLUTTER,False,"{'n_samples_window': 609, 'pupil_valid_frac': 0.7307060755336617}",0.7307060755336617,0.7307060755336617,42.0,609
ID01,single,ID01_ET_0,41.0,51.0,1772207243327,0.4472609209805819,MEDIUM,REDUCE_CLUTTER,False,"{'n_samples_window': 609, 'pupil_valid_frac': 0.7307060755336617}",0.7307060755336617,0.7307060755336617,48.0,609
ID01,single,ID01_ET_0,42.0,52.0,1772207243437,0.4466383651743136,MEDIUM,REDUCE_CLUTTER,False,"{'n_samples_window': 609, 'pupil_valid_frac': 0.7602627257799671}",0.7602627257799671,0.7602627257799671,42.0,609
ID01,single,ID01_ET_0,43.0,53.0,1772207243548,0.4468851909210209,MEDIUM,REDUCE_CLUTTER,False,"{'n_samples_window': 609, 'pupil_valid_frac': 0.7553366174055829}",0.7553366174055829,0.7553366174055829,42.0,609
ID01,single,ID01_ET_0,44.0,54.0,1772207243655,0.47534526804051114,MEDIUM,REDUCE_CLUTTER,False,"{'n_samples_window': 609, 'pupil_valid_frac': 0.7848932676518884}",0.7848932676518884,0.7848932676518884,36.0,609
ID01,single,ID01_ET_0,45.0,55.0,1772207243765,0.46064000666652016,MEDIUM,REDUCE_CLUTTER,False,"{'n_samples_window': 608, 'pupil_valid_frac': 0.7796052631578947}",0.7796052631578947,0.7796052631578947,36.0,608
ID01,single,ID01_ET_0,46.0,56.0,1772207243875,0.4369851252902488,MEDIUM,REDUCE_CLUTTER,False,"{'n_samples_window': 608, 'pupil_valid_frac': 0.8042763157894737}",0.8042763157894737,0.8042763157894737,30.0,608
ID01,single,ID01_ET_0,47.0,57.0,1772207243984,0.41458958126054574,MEDIUM,REDUCE_CLUTTER,False,"{'n_samples_window': 609, 'pupil_valid_frac': 0.7947454844006568}",0.7947454844006568,0.7914614121510674,36.0,609
ID01,single,ID01_ET_0,48.0,58.0,1772207244092,0.417363722664649,MEDIUM,REDUCE_CLUTTER,False,"{'n_samples_window': 609, 'pupil_valid_frac': 0.7947454844006568}",0.7947454844006568,0.7914614121510674,30.0,609
